11/07/2018 16.20.02	GestioneLinee errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.03	GestioneComboLinea errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.03	CaricaDati errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.03	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.03	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.03	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.03	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.03	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.03	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.04	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.04	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.04	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.05	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.05	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.05	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.05	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.05	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.06	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.06	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.06	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.07	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.07	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.07	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.07	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.08	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.08	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.08	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.08	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.09	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.09	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.09	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.09	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
