12/07/2018 10.36.22	Windas.NET avviato
12/07/2018 10.41.56	Windas.NET avviato
12/07/2018 10.48.44	Windas.NET avviato
12/07/2018 10.49.43	Windas.NET avviato
12/07/2018 10.50.49	Windas.NET avviato
12/07/2018 10.51.58	Windas.NET avviato
12/07/2018 11.11.42	Windas.NET avviato
12/07/2018 11.13.53	Windas.NET avviato
12/07/2018 11.23.04	Windas.NET avviato
12/07/2018 12.13.48	Windas.NET avviato
12/07/2018 14.51.00	Windas.NET avviato
12/07/2018 14.52.04	Windas.NET avviato
12/07/2018 14.52.25	Windas.NET avviato
12/07/2018 14.52.55	Windas.NET avviato
12/07/2018 14.56.21	Windas.NET avviato
12/07/2018 14.56.45	Windas.NET avviato
12/07/2018 14.57.17	Windas.NET avviato
12/07/2018 14.58.36	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME2\SQLEXPRESS misure n° 0 per il parametro CO non eseguita correttamente
12/07/2018 14.59.18	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME2\SQLEXPRESS misure n° 0 per il parametro NOX non eseguita correttamente
12/07/2018 14.59.35	Windas.NET avviato
12/07/2018 14.59.47	ConfigurazioneAggiornaDati: query aggiornamento configurazione su 10.0.0.10\SQLEXPRESS misure n° 0 per il parametro CO non eseguita correttamente
12/07/2018 14.59.47	ConfigurazioneAggiornaDati: query aggiornamento configurazione su 10.0.0.10\SQLEXPRESS misure n° 0 per il parametro NOX non eseguita correttamente
12/07/2018 14.59.48	ConfigurazioneAggiornaDati: query aggiornamento configurazione su 10.0.0.10\SQLEXPRESS misure n° 0 per il parametro O2 non eseguita correttamente
12/07/2018 14.59.48	ConfigurazioneAggiornaDati: query aggiornamento configurazione su 10.0.0.10\SQLEXPRESS misure n° 0 per il parametro O2U non eseguita correttamente
12/07/2018 14.59.48	ConfigurazioneAggiornaDati: query aggiornamento configurazione su 10.0.0.10\SQLEXPRESS misure n° 0 per il parametro TFUMI non eseguita correttamente
12/07/2018 14.59.48	ConfigurazioneAggiornaDati: query aggiornamento configurazione su 10.0.0.10\SQLEXPRESS misure n° 0 per il parametro PFUMI non eseguita correttamente
12/07/2018 14.59.48	ConfigurazioneAggiornaDati: query aggiornamento configurazione su 10.0.0.10\SQLEXPRESS misure n° 0 per il parametro QFUMI non eseguita correttamente
12/07/2018 14.59.48	ConfigurazioneAggiornaDati: query aggiornamento configurazione su 10.0.0.10\SQLEXPRESS misure n° 0 per il parametro H2O non eseguita correttamente
12/07/2018 15.03.37	Windas.NET avviato
12/07/2018 15.04.29	Windas.NET avviato
12/07/2018 15.04.52	Windas.NET avviato
12/07/2018 15.05.32	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS misure n° 0 per il parametro CO non eseguita correttamente
12/07/2018 15.23.24	Windas.NET avviato
12/07/2018 16.37.05	Windas.NET avviato
12/07/2018 16.37.49	Windas.NET avviato
12/07/2018 16.39.02	Windas.NET avviato
12/07/2018 16.40.55	Windas.NET avviato
12/07/2018 16.42.18	Windas.NET avviato
12/07/2018 17.18.24	Windas.NET avviato
12/07/2018 17.21.15	Windas.NET avviato
12/07/2018 17.23.05	Windas.NET avviato
12/07/2018 17.27.21	Windas.NET avviato
